input,rand_x,rand_y,pred_x,pred_y
62_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-22.58277860747475,81.12857515378491,-4.6496262550354,66.15123748779297
28_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,41.75890952605292,17.758527155466595,37.23869323730469,18.056119918823242
88_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-61.916644720361425,-61.92098633948352,-26.517366409301758,-82.94586181640625
47_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-79.5449498097241,65.91170623948832,-21.725830078125,82.88288879394531
59_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,18.20070211377758,37.45306400328819,14.281431198120117,41.10797119140625
78_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-86.29479102675556,84.58377338915898,-2.758667230606079,84.36965942382812
49_area_31_color_0_Left_Down_0.0,59.839675344075914,-51.77896007791029,32.168697357177734,-66.55596160888672
51_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,-57.27150590272189,-56.98718822638191,-28.923681259155273,-64.76488494873047
40_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-35.23639626728321,4.456157693802808,-32.78561782836914,4.028932094573975
101_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-12.249896644419167,-37.57875476435245,-10.065157890319824,-38.85378646850586
17_area_31_color_0_Left_Down_0.0,20.133521050028307,-64.89110508263246,7.9828386306762695,-70.31841278076172
33_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-37.41396326366073,-24.0548682071355,-39.81659698486328,-31.580801010131836
13_area_31_color_0_Left_Down_0.0,-7.907402840933528,51.33167305074244,-4.539289474487305,58.65632247924805
46_area_31_color_0_Left_Down_0.0,-54.058719211495244,2.562198914450093,-53.47151184082031,4.691931247711182
