input,rand_x,rand_y,pred_x,pred_y,abs_rel,sq_rel,rms_sq_lin,rms_sq_log,d1,d2,d3
62_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-22.58277860747475,81.12857515378491,-4.6496262550354,66.15123748779297,0.09401819109916687,0.0341566726565361,0.0912487804889679,0.01625019870698452,0.9398631453514099,0.9910664558410645,0.9976325631141663
28_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,41.75890952605292,17.758527155466595,37.23869323730469,18.056119918823242,0.08544140309095383,0.043869566172361374,0.14632371068000793,0.01601533032953739,0.9372584223747253,0.9818647503852844,0.9981075525283813
88_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-61.916644720361425,-61.92098633948352,-26.517366409301758,-82.94586181640625,0.1049559935927391,0.04744606092572212,0.13327333331108093,0.02035476639866829,0.8958448767662048,0.9852445125579834,0.9986780881881714
47_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-79.5449498097241,65.91170623948832,-21.725830078125,82.88288879394531,0.11113198101520538,0.050646472722291946,0.14239715039730072,0.024540750309824944,0.8770796060562134,0.9829167127609253,0.9962086081504822
59_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,18.20070211377758,37.45306400328819,14.281431198120117,41.10797119140625,0.10048089921474457,0.04315227270126343,0.1201416626572609,0.02105187624692917,0.8968836665153503,0.9857783317565918,0.9969089031219482
78_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-86.29479102675556,84.58377338915898,-2.758667230606079,84.36965942382812,0.11171872913837433,0.053866397589445114,0.13330131769180298,0.0267739649862051,0.8880573511123657,0.9778097867965698,0.9913976192474365
49_area_31_color_0_Left_Down_0.0,59.839675344075914,-51.77896007791029,32.168697357177734,-66.55596160888672,0.12427708506584167,0.0593579038977623,0.14315319061279297,0.029693391174077988,0.8482078313827515,0.979049026966095,0.9925453662872314
51_a641c3f4647545a2a4f5c50f5f5fbb571_color_0_Left_Down_0.0,-57.27150590272189,-56.98718822638191,-28.923681259155273,-64.76488494873047,0.12474944442510605,0.059668686240911484,0.15191079676151276,0.029051046818494797,0.8501825332641602,0.9803466200828552,0.9932808876037598
40_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-35.23639626728321,4.456157693802808,-32.78561782836914,4.028932094573975,0.11838742345571518,0.054980628192424774,0.14053097367286682,0.026762960478663445,0.8641908168792725,0.9823586344718933,0.9940158724784851
101_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,-12.249896644419167,-37.57875476435245,-10.065157890319824,-38.85378646850586,0.11612363159656525,0.05402947962284088,0.14082594215869904,0.025823194533586502,0.8683639168739319,0.9836999773979187,0.9945964217185974
17_area_31_color_0_Left_Down_0.0,20.133521050028307,-64.89110508263246,7.9828386306762695,-70.31841278076172,0.11184803396463394,0.05116985738277435,0.13579145073890686,0.024314623326063156,0.8773006796836853,0.9850384593009949,0.9950735569000244
33_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,-37.41396326366073,-24.0548682071355,-39.81659698486328,-31.580801010131836,0.10928764194250107,0.04942820593714714,0.13315127789974213,0.023442251607775688,0.883306086063385,0.9858580231666565,0.995367169380188
13_area_31_color_0_Left_Down_0.0,-7.907402840933528,51.33167305074244,-4.539289474487305,58.65632247924805,0.10837239027023315,0.04857337847352028,0.12829837203025818,0.023424390703439713,0.8829905986785889,0.9859069585800171,0.9953781962394714
46_area_31_color_0_Left_Down_0.0,-54.058719211495244,2.562198914450093,-53.47151184082031,4.691931247711182,0.10471117496490479,0.04615895450115204,0.12221827358007431,0.022237423807382584,0.8901073336601257,0.9866743683815002,0.99567711353302
0_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,16.63462239516764,-81.63892571040041,-3.443047523498535,-73.09154510498047,0.10712325572967529,0.04881482943892479,0.1288653016090393,0.023901529610157013,0.8836978077888489,0.9857656359672546,0.9950186014175415
80_fa5f164b48f043c6b2b0bb9e8631a4821_color_0_Left_Down_0.0,19.358073342258905,-59.30565773628753,7.073375225067139,-58.838348388671875,0.10724789649248123,0.04915239289402962,0.12821488082408905,0.023992886766791344,0.8836463093757629,0.9851635098457336,0.9947478175163269
46_area_31_color_0_Left_Down_0.0,-78.29071326264969,80.79939670559997,-4.4090118408203125,91.05581665039062,0.10649848729372025,0.04823461174964905,0.12630030512809753,0.023585772141814232,0.8855265974998474,0.9855657815933228,0.9950175881385803
60_e0166dba74ee42fd80fccc26fe3f02c81_color_0_Left_Down_0.0,83.81376595342067,55.51152266096301,23.62186050415039,75.7635726928711,0.10973775386810303,0.04829484969377518,0.1230873093008995,0.024589141830801964,0.8757149577140808,0.9850592613220215,0.9951930046081543
